"Customweb_SaferpayCw::* Required Fields","* Required Fields"
"Customweb_SaferpayCw::Account Holder","Rekeninghouder"
"Customweb_SaferpayCw::Account Holder Name","Naam rekeninghouder"
"Customweb_SaferpayCw::Account Number","Account Number"
"Customweb_SaferpayCw::Account holder","Account holder"
"Customweb_SaferpayCw::Account name: @account","Naam van de rekening: @account"
"Customweb_SaferpayCw::Account owner name.","Rekeninghouder naam"
"Customweb_SaferpayCw::Acquirer Reference","Verwerver Referentie"
"Customweb_SaferpayCw::Action","Actie"
"Customweb_SaferpayCw::Action blocked by risk management","Actie geblokkeerd door risicomanagement"
"Customweb_SaferpayCw::Action not supported.","Actie wordt niet ondersteund."
"Customweb_SaferpayCw::Actions","Actions"
"Customweb_SaferpayCw::Activate","Activate"
"Customweb_SaferpayCw::Active","Actief"
"Customweb_SaferpayCw::Additional Information","Additional Information"
"Customweb_SaferpayCw::Adjust Qty","Pas de hoeveelheid"
"Customweb_SaferpayCw::Adjustment Discount","Adjustment Discount"
"Customweb_SaferpayCw::Adjustment Fee","Adjustment Fee"
"Customweb_SaferpayCw::After payment selection","Na het selecteren van de betaalmethode"
"Customweb_SaferpayCw::Ajax authorization not supported.","Ajax machtiging wordt niet ondersteund."
"Customweb_SaferpayCw::Alias","Alias"
"Customweb_SaferpayCw::Alias For Display","Alias ​​voor Beeldscherm"
"Customweb_SaferpayCw::Alias ID","Alias ID"
"Customweb_SaferpayCw::Alias Manager (SCD)","Alias Manager (SCD)"
"Customweb_SaferpayCw::All Customers","All Customers"
"Customweb_SaferpayCw::Allowed Currencies","Allowed Currencies"
"Customweb_SaferpayCw::Allowed currencies for this payment method","Toegestane valuta voor deze betaalmethode"
"Customweb_SaferpayCw::Already registered?","Already registered?"
"Customweb_SaferpayCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_SaferpayCw::American Express","American Express"
"Customweb_SaferpayCw::Amount","Bedrag"
"Customweb_SaferpayCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_SaferpayCw::Amount: @amount","Bedrag: @amount"
"Customweb_SaferpayCw::An error occured: SaferpayCw response is: '!data'","Er is een fout opgetreden: ____ ModuleCamel____ antwoord is: '!data'"
"Customweb_SaferpayCw::Approval mode","Approval mode"
"Customweb_SaferpayCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
"Customweb_SaferpayCw::Authentication failed","Authenticatie mislukt"
"Customweb_SaferpayCw::Authentication failed, please check the configuration","Authenticatie mislukt, controleer de configuratie"
"Customweb_SaferpayCw::Author","Author"
"Customweb_SaferpayCw::Authorization Amount","Autorisatie bedrag"
"Customweb_SaferpayCw::Authorization Failed","Autorisatie mislukt"
"Customweb_SaferpayCw::Authorization Method","Autorisatie Methode"
"Customweb_SaferpayCw::Authorization is uncertain.","Autorisatie is onzeker"
"Customweb_SaferpayCw::Authorized Status","Authorized Status"
"Customweb_SaferpayCw::Await Notification","Await Notification"
"Customweb_SaferpayCw::Awaiting confirmation","Awaiting confirmation"
"Customweb_SaferpayCw::BIC","BIC"
"Customweb_SaferpayCw::BIC: @bic","BIC: @bic"
"Customweb_SaferpayCw::Bad signature format.","Bad signature format."
"Customweb_SaferpayCw::Bank Code","Bank Code"
"Customweb_SaferpayCw::Bank Location","Bank Locatie"
"Customweb_SaferpayCw::Bank Name","Bank Naam"
"Customweb_SaferpayCw::Bank account number","Bankrekeningnummer"
"Customweb_SaferpayCw::Bank code","Bank code"
"Customweb_SaferpayCw::Bank code number","Bankcode"
"Customweb_SaferpayCw::Bank name","Bank name"
"Customweb_SaferpayCw::Bank: @bank","Bank: @bank"
"Customweb_SaferpayCw::Before payment selection","Vóór het selecteren van de betaalmethode"
"Customweb_SaferpayCw::Billing Address","Billing Address"
"Customweb_SaferpayCw::Billing Information","Billing Information"
"Customweb_SaferpayCw::Billing address","Factuuradres"
"Customweb_SaferpayCw::Billing address is sent","Stuur factuuradres"
"Customweb_SaferpayCw::Billing and Delivery address is sent","Facturerings- en afleveradres wordt verzonden"
"Customweb_SaferpayCw::Billing and Shipping","Facturering en verzending"
"Customweb_SaferpayCw::Billpay Approval","Billpay Approval"
"Customweb_SaferpayCw::Billpay General Terms","BillPay Algemene Voorwaarden"
"Customweb_SaferpayCw::Brand Name","Brand Name"
"Customweb_SaferpayCw::By continuing the checkout you agree to the general terms of this agreement.","Door verder te gaan met het checkout-proces, gaat u akkoord met de algemene voorwaarden van deze overeenkomst."
"Customweb_SaferpayCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"Customweb_SaferpayCw::CVC Code","CVC Code"
"Customweb_SaferpayCw::Cancel","Cancel"
"Customweb_SaferpayCw::Cancel ID","Cancel ID"
"Customweb_SaferpayCw::Cancel pending orders when out of stock","Lopende orders te annuleren als het item is niet langer op voorraad."
"Customweb_SaferpayCw::Cancel status","Cancel status"
"Customweb_SaferpayCw::Canceled SaferpayCw","Canceled SaferpayCw"
"Customweb_SaferpayCw::Canceling of this payment not possible!","Deze betaling kan niet worden geannuleerd!"
"Customweb_SaferpayCw::Cancelled Status","Cancelled Status"
"Customweb_SaferpayCw::Cancelled.","Geannuleerd"
"Customweb_SaferpayCw::Cannot update item quantity.","Kan product hoeveelheid niet bijwerken."
"Customweb_SaferpayCw::Capture Amount","Capture Amount"
"Customweb_SaferpayCw::Capture ID","Capture ID"
"Customweb_SaferpayCw::Capture amount","Capture bedrag"
"Customweb_SaferpayCw::Capture information","Boekingsinformatie"
"Customweb_SaferpayCw::Capture status","Capture status"
"Customweb_SaferpayCw::Capture: Don't Close","Capture: Don't Close"
"Customweb_SaferpayCw::Captured Amount","Opgenomen bedrag"
"Customweb_SaferpayCw::Captured Status","Captured Status"
"Customweb_SaferpayCw::Captures","Captures"
"Customweb_SaferpayCw::Captures & Refunds","Captures & Refunds"
"Customweb_SaferpayCw::Capturing","Capturing"
"Customweb_SaferpayCw::Capturing not possible. Capturing result '!result'","Boeking niet mogelijk. Boeking resultaat '!result'."
"Customweb_SaferpayCw::Capturing not possible. Technical error. Server response '!response'","Boeken nich mogelijk. Technische fout. Server response '!response'."
"Customweb_SaferpayCw::Card Country Origin","Kaart Land van herkomst"
"Customweb_SaferpayCw::Card Expiration","Kaart vervaldatum"
"Customweb_SaferpayCw::Card Expiry Date","Card Vervaldatum"
"Customweb_SaferpayCw::Card Form - Holder Name","Kaartformulier - Naam van de houder"
"Customweb_SaferpayCw::Card Holder Name","Kaarthouder"
"Customweb_SaferpayCw::Card Number","Kaartnummer"
"Customweb_SaferpayCw::Card Reference ID","Card referentie ID"
"Customweb_SaferpayCw::Card Type","Card Type"
"Customweb_SaferpayCw::Card verification mode","Kaartverificatie modus"
"Customweb_SaferpayCw::Carrier Title","Carrier Title"
"Customweb_SaferpayCw::Check out faster","Check out faster"
"Customweb_SaferpayCw::Check to activate the external checkout.","Check to activate the external checkout."
"Customweb_SaferpayCw::Checkout","Checkout"
"Customweb_SaferpayCw::Checkout as Guest","Checkout as Guest"
"Customweb_SaferpayCw::Checkout as a Guest or Register","Checkout as a Guest or Register"
"Customweb_SaferpayCw::Checkout as a new customer","Checkout as a new customer"
"Customweb_SaferpayCw::Checkout using your account","Checkout using your account"
"Customweb_SaferpayCw::Checkout with MasterPass.","Afrekenen met MasterPass."
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Customweb_SaferpayCw::Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Selecteer 'Creatie na de bestelling' als u wilt dat een factuur wordt gecreëerd. De status van de bestelling is gebaseerd op de boeken van de status. Voor vastgelegde betalingen wordt altijd een factuur aangemaakt."
"Customweb_SaferpayCw::Choose wheather you want your customer to be separately informed by e-mail bySaferpay.","Kies of u wilt dat uw klant afzonderlijk worden geïnformeerd per e-mail bySaferpay."
"Customweb_SaferpayCw::Choose your provider for direct debit payments.","Selecteer uw provider voor direct debit betalingen."
"Customweb_SaferpayCw::Communication with the processor failed.","De communicatie met de processor is mislukt."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with acquirer.","De communicatie met de processor is uitgeschakeld. Neem contact op met de acquirer."
"Customweb_SaferpayCw::Communication with the processor timed out. Please check with aquirer.","Communication with the processor timed out. Please check with aquirer."
"Customweb_SaferpayCw::Company","Vennootschap"
"Customweb_SaferpayCw::Company Commercial Number","Company Commerciële Nummer"
"Customweb_SaferpayCw::Company name","Bedrijfsnaam"
"Customweb_SaferpayCw::Condition not satisfied.","Voorwaarde niet vervuld."
"Customweb_SaferpayCw::Condition not staisfied.","Condition not staisfied."
"Customweb_SaferpayCw::Confirm Password","Confirm Password"
"Customweb_SaferpayCw::Continue","Doorgaan"
"Customweb_SaferpayCw::Could not convert object of type '!type' to string.","Kan niet converteren object van het type '!type' naar een string."
"Customweb_SaferpayCw::Could not find a brand for the given card number.","Kan een merk voor de opgegeven kaartnummer niet vinden."
"Customweb_SaferpayCw::Could not find an adapter for the authoriztion method !methodName.","Kan een adapter voor de methode vergunning !methodName niet vinden."
"Customweb_SaferpayCw::Could not find pressed button.","Kon ingedrukte knop niet vinden."
"Customweb_SaferpayCw::Could not find template file at default location '!location'.","Kan template bestand niet vinden op standaard locatie '!location'."
"Customweb_SaferpayCw::Could not find the payment method !paymentMethodName.","Kan de betaalmethode !paymentMethodName niet vinden."
"Customweb_SaferpayCw::Could not load layout from URL !url. Reason: !reason","Kon layout niet laden van URL !url. Reden: !reason"
"Customweb_SaferpayCw::Create Account","Create Account"
"Customweb_SaferpayCw::Create New Order - Payment","Create New Order - Payment"
"Customweb_SaferpayCw::Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Customweb_SaferpayCw::Creating an account has many benefits:","Creating an account has many benefits:"
"Customweb_SaferpayCw::Creation Date","Creation Date"
"Customweb_SaferpayCw::Credit Card Brands","Credit Card Brands"
"Customweb_SaferpayCw::Credit Memo History","Credit Memo History"
"Customweb_SaferpayCw::Credit Memo Totals","Credit Memo Totals"
"Customweb_SaferpayCw::Credit limit exceeded.","Kredietlimiet overschreden."
"Customweb_SaferpayCw::Credit memo's total must be positive.","Did you mean: Credit memos total must be positive.Totale creditnota's moet positief zijn."
"Customweb_SaferpayCw::Creditor Identifier","Kredietverlener Identificatiesymbool"
"Customweb_SaferpayCw::Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Creditor identification numbe: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate"
"Customweb_SaferpayCw::Creditor identification number: !CREDITOR_ID<br/> Mandate reference: !MANDATE_REFERENCE<br/> Date: !DATE<br/> <br/> I !CUSTOMER grant !MERCHANT_NAME the revocable authorization to debit the above-listed amount and to collect future payments to be paid by me from my account by means of direct debit, in accordance with my details listed above. At the same time, I instruct my financial institution to redeem the debits from on my account. <br/> <br/> Note: I can request the reimbursement of the debited amount with eight weeks of the date on which it is debited. The conditions agreed to with my financial institution apply for this. <br/> I hereby confirm the SEPA Direct Debit mandate","Crediteuridentificatienummer: !CREDITOR_ID<br/> Mandaatreferentie: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ik !CUSTOMER verleent !MERCHANT_NAME de herroepbare machtiging om het hierboven vermelde bedrag af te schrijven en om toekomstige betalingen door mij te innen van mijn rekening door middel van automatische incasso, in overeenstemming met mijn hierboven vermelde gegevens. Tegelijkertijd geef ik mijn financiële instelling opdracht om de debiteringen van mijn rekening terug te vorderen. <br/> <br/> Opmerking: Ik kan de terugbetaling van het gedebiteerde bedrag vragen met acht weken na de datum waarop het gedebiteerd is. Hiervoor gelden de met mijn financiële instelling overeengekomen voorwaarden. <br/> Ik bevestig hierbij het SEPA-incassomandaat"
"Customweb_SaferpayCw::Currency","Valuta"
"Customweb_SaferpayCw::Current Configuration Scope:","Huidige omvang van de configuratie:"
"Customweb_SaferpayCw::Custom parameters have been altered. Fraud possible, aborting.","Aangepaste parameters zijn gewijzigd. Fraude mogelijk, aborteren."
"Customweb_SaferpayCw::Customer Account","Customer Account"
"Customweb_SaferpayCw::Customer Address","Adres van de klant"
"Customweb_SaferpayCw::Customer Alias Management","Customer Alias Management"
"Customweb_SaferpayCw::Customer confirmation email","E-mail ter bevestiging van de klant"
"Customweb_SaferpayCw::Customer entered invalid card details","Klant heeft ongeldige kaartgegevens ingevoerd"
"Customweb_SaferpayCw::Customer successfully returned from SaferpayCw","De cliënt heeft met succes teruggekeerd van SaferpayCw."
"Customweb_SaferpayCw::Customer successfully returned from Saferpay","Klant met succes terug uit Saferpay"
"Customweb_SaferpayCw::Customer sucessfully returned from the SaferpayCw payment page.","Klant met succes terug uit de ____ ModuleCamel____ betaalpagina."
"Customweb_SaferpayCw::Customer used expired card.","Klant gebruikte vervallen kaart."
"Customweb_SaferpayCw::Customer used expried card.","Customer used expried card."
"Customweb_SaferpayCw::Customers","Customers"
"Customweb_SaferpayCw::Customweb","Customweb"
"Customweb_SaferpayCw::Date","Datum"
"Customweb_SaferpayCw::Date of Birth","Geboortedatum"
"Customweb_SaferpayCw::Date of birth","Verjaardag"
"Customweb_SaferpayCw::Day","Dag"
"Customweb_SaferpayCw::Deactivate","Deactivate"
"Customweb_SaferpayCw::Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest."
"Customweb_SaferpayCw::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email."
"Customweb_SaferpayCw::Default Config","Standaardconfiguratie"
"Customweb_SaferpayCw::Default lightweight responsive theme","Standaard lichtgewicht responsive thema"
"Customweb_SaferpayCw::Deferred","Uitgestelde"
"Customweb_SaferpayCw::Deferred (authorization)","Deferred (authorization)"
"Customweb_SaferpayCw::Deferred capturing","De vertraagde boeking"
"Customweb_SaferpayCw::Deferred settlement","Vertraagde creatie"
"Customweb_SaferpayCw::Define a maximal order total for this checkout to be available.","Define a maximal order total for this checkout to be available."
"Customweb_SaferpayCw::Define a minimal order total for this checkout to be available.","Define a minimal order total for this checkout to be available."
"Customweb_SaferpayCw::Delayed","Vertraagd"
"Customweb_SaferpayCw::Delete","Verwijder"
"Customweb_SaferpayCw::Delivery address","Afleveradres"
"Customweb_SaferpayCw::Delivery address is sent","Stuur verzendadres"
"Customweb_SaferpayCw::Description","Beschrijving"
"Customweb_SaferpayCw::Description of the order","Beschrijf de orde"
"Customweb_SaferpayCw::Details:","Details:"
"Customweb_SaferpayCw::Details: !details","Details: !details"
"Customweb_SaferpayCw::Diners","Diners"
"Customweb_SaferpayCw::Diners Club","Diners Club"
"Customweb_SaferpayCw::Direct Capture failed.","Directe opname mislukt"
"Customweb_SaferpayCw::Direct Debits","Direct Debits"
"Customweb_SaferpayCw::Direct E-Banking","Direct E-Banking"
"Customweb_SaferpayCw::Direct capture after order","Directe boeking"
"Customweb_SaferpayCw::Direct debit provider","Direct Debit Provider"
"Customweb_SaferpayCw::Direct debit with Billpay","Direct Debit met Billpay"
"Customweb_SaferpayCw::Direct debit with ELV","Direct Debit met ELV"
"Customweb_SaferpayCw::Directly after order","Direct na bestelling"
"Customweb_SaferpayCw::Directly after order (sale)","Directly after order (sale)"
"Customweb_SaferpayCw::Disabled","Invalide"
"Customweb_SaferpayCw::Discount","Discount"
"Customweb_SaferpayCw::Discount Amount","Bedrag van de korting"
"Customweb_SaferpayCw::Do not inform the customer","De klant niet informeren"
"Customweb_SaferpayCw::Do not mark them","Niet markeren"
"Customweb_SaferpayCw::Don't change order status","Heeft orderstatus niet wijzigen"
"Customweb_SaferpayCw::Due Date","Vervaldatum"
"Customweb_SaferpayCw::During authorization","Tijdens de autorisatie"
"Customweb_SaferpayCw::Edit","Bewerken"
"Customweb_SaferpayCw::Edit Invoice %s","Edit Invoice %s"
"Customweb_SaferpayCw::Effective Payment Method Name","Efficiënte betalingsmethode Naam"
"Customweb_SaferpayCw::Email Address","Email Address"
"Customweb_SaferpayCw::Empty version number field name","Empty version number field name"
"Customweb_SaferpayCw::Enable or disable logging.","Enable or disable logging."
"Customweb_SaferpayCw::Enable the payment method","Betaalmethode inschakelen"
"Customweb_SaferpayCw::Enabled","Ingeschakeld"
"Customweb_SaferpayCw::Enter the date on which your card expires.","Voer de vervaldatum van de kaart"
"Customweb_SaferpayCw::Error server responded with status code @status","Foutserver reageerde met statuscode @status"
"Customweb_SaferpayCw::Error with the length of the validation date.","Error with the length of the validation date."
"Customweb_SaferpayCw::Excl. Tax","Excl. belasting"
"Customweb_SaferpayCw::Expired Token.","Verlopen symboliek."
"Customweb_SaferpayCw::External Checkout","External Checkout"
"Customweb_SaferpayCw::External Checkout: Guest Checkout","External Checkout: Guest Checkout"
"Customweb_SaferpayCw::Failed","Mislukt"
"Customweb_SaferpayCw::Failed payment authorization.","Mislukte betaling toestemming."
"Customweb_SaferpayCw::Failed with error: !name","Mislukt met fout: !name"
"Customweb_SaferpayCw::Failed with new error: !name","Failed with new error: !name"
"Customweb_SaferpayCw::Failed with unkown error: !name","Failed with unkown error: !name"
"Customweb_SaferpayCw::Female","Vrouw"
"Customweb_SaferpayCw::Figure !number:","Figure !number:"
"Customweb_SaferpayCw::For transaction using an existing alias the CVC check can be desabled. The shipping address is checked instead.","Voor transacties met een bestaande alias de CVC controle kan worden desabled. Het verzendadres is in plaats daarvan gecontroleerd."
"Customweb_SaferpayCw::Forgot Your Password?","Forgot Your Password?"
"Customweb_SaferpayCw::Forgot your password?","Forgot your password?"
"Customweb_SaferpayCw::Gender","Geslacht"
"Customweb_SaferpayCw::Get Update","Get Update"
"Customweb_SaferpayCw::Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat","Gl??ubiger-Identifikationsnummer: !CREDITOR_ID<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER erm??chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zuk??nftig zu entrichtenden Zahlungen bei F??lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzul??sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit best??tige ich das SEPA-Lastschriftmandat"
"Customweb_SaferpayCw::GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat","GlÃ¤ubiger-Identifikationsnummer: !MERCHANT_IBAN<br/> Mandatsreferenz: !MANDATE_REFERENCE<br/> Datum: !DATE<br/> <br/> Ich !CUSTOMER ermÃ¤chtige !MERCHANT_NAME widerruflich, lt. meinen vorherigen Eingaben den oben genannten Betrag und die von mir zukÃ¼nftig zu entrichtenden Zahlungen bei FÃ¤lligkeit von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von auf mein Konto gezogenen Lastschriften einzulÃ¶sen.<br/> <br/> Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen.<br/> Hiermit bestÃ¤tige ich das SEPA-Lastschriftmandat"
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_SaferpayCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Saferpay. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Dit prefix verandert het ordernummer, die wordt verzonden naar Saferpay. Het prefix moet bevatten de tag {id}, die vervolgens wordt vervangen door het nummer (bv. Name_ {id})."
"Customweb_SaferpayCw::Hide","Hide"
"Customweb_SaferpayCw::I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies.","I agree that my personal data are transmitted to <a href='https://billpay.de/endkunden' target='blank'> Billpay GmbH</a> in order to perfrom an idenity and solvency check. Billpay's <a href='!link'>Privacy Policy</a> applies."
"Customweb_SaferpayCw::I agree.","Ik ben het eens"
"Customweb_SaferpayCw::IBAN","IBAN"
"Customweb_SaferpayCw::IBAN number","IBAN-nummer"
"Customweb_SaferpayCw::IBAN: @iban","IBAN: @iban"
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Als er slechts een product op voorraad is en de betaling van de klant (de exacte koopt dit product) faalt, zolang het product wordt gereserveerd tot de bestelling wordt geannuleerd (zie Time-out optie). Schakel deze optie in als u NIET wilt dat het product zal worden gereserveerd. Bestellingen met een mislukte of afgebroken status van de betaling wordt meteen geannuleerd."
"Customweb_SaferpayCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"Customweb_SaferpayCw::If it is not applicable leave the field empty.","Als het niet van toepassing laat het veld leeg."
"Customweb_SaferpayCw::If no liability shift is given by a transaction, should the transaction be marked as uncertain?","Als er geen liability shift wordt gegeven door een transactie, moet de transactie worden gemarkeerd als onzeker?"
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden geannuleerd."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden vastgelegd."
"Customweb_SaferpayCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Als de status 'Pending' het is onduidelijk of de transactie met succes zal worden terugbetaald."
